Unnamed: 0,question,answer
0.0,为什么我实名认证失败,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
1.0,注册好了认证失败,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
2.0,我这个认证不了,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
3.0,怎么认证还没通过,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
4.0,就是认证不了,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
5.0,认证不了啊,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
6.0,认证不通过吗,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
7.0,今天认证不了,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
8.0,为什么我认证不了,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
9.0,认证不了怎么回事,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
10.0,实名认证为什么不能,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
11.0,怎么不能实名认证,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
12.0,实名认证没通过,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
13.0,为什么实名认证不了,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
14.0,实名认证不了是什么意思,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
15.0,我为什么实名认证不了,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
16.0,为什么我实名认证不了,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
17.0,我实名认证不了,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
18.0,实名认证不了,"您好！您可以打开app→首页点击“立即认证”→输入正确的“姓名”+“身份照号码”→人脸扫码认证就可以→正确情况就可以认证成功
认证失败也可自主操作重新认证，操作路径如下：
①在认证失败的界面选择 （?身份证认证 ；?重新认证；）
②可以返回首页之后重新操作；
若有其他疑问可咨询全国客服热线：0571-28070393。"
19.0,现在没有按天购买的套餐了吗,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
20.0,可以日租吗,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
21.0,可以有日租套餐吗,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
22.0,电池能日租吗,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
23.0,可不可以日租,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
24.0,可以日租么,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
25.0,可不可日租,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
26.0,有日租的吗,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
27.0,单日租也多少钱,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
28.0,有没有日租的,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
29.0,有没有日租,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
30.0,有日租套餐吗,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
31.0,有没有日租的套餐,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
32.0,你好可以日租吗,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
33.0,日租怎么收费,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
34.0,电池可以日租吗,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
35.0,可以日租或者次租吗,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
36.0,日租有没有,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
37.0,你们这个电池可以日租不,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
38.0,哪里的换电站可以日租,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
39.0,还是说长沙没有日租的,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
40.0,扫码没有日租的啊,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
41.0,你们不是有日租的服务吗,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
42.0,可以购买7天套餐吗,如您当地有按次/按天套餐，是可以购买的，您可以打开“这锂换电”app-“首页”-“购买套餐”-查看具体的套餐详情。
43.0,我的套餐没用完剩下的可以退款吗,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
44.0,购买的套餐没用申请退款,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
45.0,购买了套餐还能退款吗,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
46.0,我有一个套餐购买了没有使用可以退款嘛,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
47.0,已购买的套餐退款,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
48.0,购买套餐可以退款吗,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
49.0,购买套餐后还能退款吗,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
50.0,套餐还没用能退款吗,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
51.0,套餐没用能退款吗,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
52.0,刚购买的套餐没有使用如何退款,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
53.0,套餐购买后可以退款吗,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
54.0,购买的套餐还没用是否可以退,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
55.0,刚购买套餐还没用能退吗,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
56.0,套餐买了还没用可以退款吗,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
57.0,买了套餐没用能退款吗,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
58.0,刚购买的套餐没用能退吗,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
59.0,你好套餐没用能退款吗,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
60.0,就是我那个套餐只用了一天就没用了能不能给我退款,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
61.0,套餐没用全额退款,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
62.0,购买了套餐现在申请退款了,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
63.0,套餐没用完之前能退款吗,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
64.0,没有用的套餐可以退款吗,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
65.0,套餐怎么退款,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
66.0,套餐可以退款吗,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
67.0,我的套餐没使用可以退款不,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
68.0,套餐不能退款么,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
69.0,我的套餐退款,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
70.0,没有使用的套餐能不能退款,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
71.0,如果不使用套餐怎么退款,您好，购买套餐之后，不进行退款如暂时不使用建议您先操作寄存套餐寄存后天数将自动暂停。
72.0,拉新奖励多少,"您好，您可以点击“这锂换电”app-“我的”-“邀请好友”查看拉新规则、拉新攻略哦
拉新后需要要等新用户购买指定套餐并成功取电后，拉新才算成功，拉新成功后财务将会在1-5个工作日内结算至您这锂换电app余额，您注意查收并及时提现到您的支付宝账户，谢谢。"
73.0,我电池换电的时候门不小心关上了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
74.0,门不小心关上了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
75.0,电池门关上了没有电池怎么办,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
76.0,我放进旧电池不小心把新电池门关上了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
77.0,我把新电池门关上怎么办,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
78.0,我换电时不小心把要取走的电池门关上了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
79.0,我不小心给关上了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
80.0,不小心关上舱门电池取不出来,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
81.0,没取电池把舱门不小心关上了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
82.0,没取电池不小心把舱门关上了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
83.0,电池未取出门关上了怎么办,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
84.0,我换电池门不小心关着了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
85.0,电池还了新电池忘了拿出来门关上了该怎么办,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
86.0,换电池的时候电池还没取出来不小心把门关上了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
87.0,电池没拿出来舱门关上了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
88.0,柜门不小心关上了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
89.0,不小心关门没出电池,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
90.0,不小心把仓门关上了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
91.0,不小心关上柜门,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
92.0,就是我没有把电池拿出来然后我把门关上了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
93.0,门不小心关了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
94.0,电池没拿出来门被关了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
95.0,我电池没去出来不小心关了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
96.0,电瓶没拿出来不小心被我关上了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
97.0,电池没取出来就关上了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
98.0,扫码开柜电池未取出不小心把门关上了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
99.0,箱门开了但是又不小心关上了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
100.0,你好电池没拿出来不小心关门了怎么办,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
101.0,电池舱门不小心关闭了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
102.0,刚才把门关上了现在手上没得电池,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
103.0,我电池忘记拿舱门关上了怎么办,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
104.0,我电池还没拿门不小心锁了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
105.0,电池没取出来门关上了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
106.0,电池柜子不小心关了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
107.0,没取出电池不小心关了,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
108.0,你好我的电池没拿出来门被关了怎么处理,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
109.0,电池没拿出来关上门了怎么办,您好，您可以打开“这锂换电”app-“首页”-“扫一扫”，重新扫码即可打开关闭的箱门。
110.0,电池容量多大的,尊敬的用户，电池的常用规格：48/60v/48max/60max，26ah-50ah，具体的以您当地实际投放情况为准。
111.0,这个电池容量多大,尊敬的用户，电池的常用规格：48/60v/48max/60max，26ah-50ah，具体的以您当地实际投放情况为准。
112.0,电池容量多大,尊敬的用户，电池的常用规格：48/60v/48max/60max，26ah-50ah，具体的以您当地实际投放情况为准。
113.0,电池容量多大的啊,尊敬的用户，电池的常用规格：48/60v/48max/60max，26ah-50ah，具体的以您当地实际投放情况为准。
114.0,现在电池容量多大,尊敬的用户，电池的常用规格：48/60v/48max/60max，26ah-50ah，具体的以您当地实际投放情况为准。
